schema,table,statut,priorite,volume_lignes,nb_parametres,nb_problemes,problemes,sql_en_attente,fiche
qualite,mesure_qualite_nappe,PENDING,Critique,63088,71,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs négatives,sql_en_attente/qualite_mesure_qualite_nappe.sql,01_fiches_tables/qualite_mesure_qualite_nappe.md
qualite,mesure_qualite_riviere,PENDING,Critique,60097,96,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs négatives,sql_en_attente/qualite_mesure_qualite_riviere.sql,01_fiches_tables/qualite_mesure_qualite_riviere.md
qualite,mesure_qualite_sebou,PENDING,Critique,51402,13,3,mapping ambigu ou absent | unités à valider | valeurs nulles,sql_en_attente/qualite_mesure_qualite_sebou.sql,01_fiches_tables/qualite_mesure_qualite_sebou.md
qualite,source_pollution_mesure_param,PENDING,Critique,7191,51,5,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs non numériques | valeurs nulles,sql_en_attente/qualite_source_pollution_mesure_param.sql,01_fiches_tables/qualite_source_pollution_mesure_param.md
qualite,suivi_qualite_barrage_garde_hebdo,PENDING,Critique,7094,39,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs nulles,sql_en_attente/qualite_suivi_qualite_barrage_garde_hebdo.sql,01_fiches_tables/qualite_suivi_qualite_barrage_garde_hebdo.md
staging,_legacy_qualite_riviere,PENDING,Critique,60097,96,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs négatives,sql_en_attente/staging_legacy_qualite_riviere.sql,01_fiches_tables/staging_legacy_qualite_riviere.md
staging,mesure_precipitation_old_model,PENDING,Moyenne,507930,1,0,aucun problème critique détecté automatiquement,sql_en_attente/staging_mesure_precipitation_old_model.sql,01_fiches_tables/staging_mesure_precipitation_old_model.md
staging,mesures_debit_jr,PENDING,Critique,173251,2,2,mapping ambigu ou absent | unités à valider,sql_en_attente/staging_mesures_debit_jr.sql,01_fiches_tables/staging_mesures_debit_jr.md
staging,mesures_debit_m,PENDING,Critique,19316,2,2,mapping ambigu ou absent | unités à valider,sql_en_attente/staging_mesures_debit_m.sql,01_fiches_tables/staging_mesures_debit_m.md
staging,mesures_debit_sources,PENDING,Critique,2816,1,2,mapping ambigu ou absent | unités à valider,sql_en_attente/staging_mesures_debit_sources.sql,01_fiches_tables/staging_mesures_debit_sources.md
staging,mesures_evaporation_jr,PENDING,Élevée,48900,1,2,unités à valider | valeurs nulles,sql_en_attente/staging_mesures_evaporation_jr.sql,01_fiches_tables/staging_mesures_evaporation_jr.md
staging,mesures_niv_eau_barrages,PENDING,Élevée,85166,5,2,unités à valider | valeurs nulles,sql_en_attente/staging_mesures_niv_eau_barrages.sql,01_fiches_tables/staging_mesures_niv_eau_barrages.md
staging,mesures_precip,PENDING,Élevée,669880,2,2,unités à valider | valeurs nulles,sql_en_attente/staging_mesures_precip.sql,01_fiches_tables/staging_mesures_precip.md
staging,mesures_precipitations_jr_max,PENDING,Moyenne,2085,0,0,aucun problème critique détecté automatiquement,sql_en_attente/staging_mesures_precipitations_jr_max.sql,01_fiches_tables/staging_mesures_precipitations_jr_max.md
staging,mesures_precipitations_jr_traitees,PENDING,Élevée,546007,3,2,unités à valider | valeurs nulles,sql_en_attente/staging_mesures_precipitations_jr_traitees.sql,01_fiches_tables/staging_mesures_precipitations_jr_traitees.md
staging,mesures_qualite_barrages,PENDING,Critique,8714,60,3,cas de quarantaine associés | mapping ambigu ou absent | unités à valider,sql_en_attente/staging_mesures_qualite_barrages.sql,01_fiches_tables/staging_mesures_qualite_barrages.md
staging,mesures_qualite_nappes,PENDING,Critique,63088,71,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs négatives,sql_en_attente/staging_mesures_qualite_nappes.sql,01_fiches_tables/staging_mesures_qualite_nappes.md
staging,sources_polution_mesure,PENDING,Moyenne,141,6,0,aucun problème critique détecté automatiquement,sql_en_attente/staging_sources_polution_mesure.sql,01_fiches_tables/staging_sources_polution_mesure.md
staging,suivi_qualite_brg_garde_hebdo,PENDING,Critique,7094,39,4,cas de quarantaine associés | mapping ambigu ou absent | unités à valider | valeurs nulles,sql_en_attente/staging_suivi_qualite_brg_garde_hebdo.sql,01_fiches_tables/staging_suivi_qualite_brg_garde_hebdo.md
staging,suivi_qualite_sebou,PENDING,Critique,51402,13,3,mapping ambigu ou absent | unités à valider | valeurs nulles,sql_en_attente/staging_suivi_qualite_sebou.sql,01_fiches_tables/staging_suivi_qualite_sebou.md
