code_parametre,nom_canonique,symbole,unite_standard,type_metier,theme,sous_theme,regle_parsing,attributs_obligatoires,attributs_optionnels,variantes_associees,statut_validation,flag,justification_decision,source_decision,commentaire_migration
CL2_RES,Cl2_res,Cl2_res,mg/L,physico-chimie,Chlore résiduel,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cl2_res,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CLOSTRI,Clostri,Clostri,spores/100 mL,physico-chimie,Clostridium sulfito-réducteurs,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Clostri | Clostri_sul_redu,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CN,CN-,CN-,mg/L,physico-chimie,Cyanures,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CN | CN- | CN(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CO,Co,Co,mg/L,physico-chimie,Cobalt,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Co | Cobalt | Cobalt(mg/l)),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CO2_LIBRE,CO2_libre,CO2_libre,mg/L,physico-chimie,Dioxyde de carbone libre,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CO2_libre,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CO3,CO3²-,CO3²-,mg/L,physico-chimie,Carbonates,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Carbonates | CO3 | CO32 | CO3²-,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
COND,Cond,Cond,µS/cm,physico-chimie,Conductivité électrique,minéralisation,numeric_decimal_comma + temperature_reference + quarantine_non_convertible,temperature_reference,source_mesure,"CE | Cond | cond_20_c | Cond 20°C | Cond 25°C | Cond 25°C *0,9*0,01 | Cond 25°C *1,1*0,01 | Conduc | Conductivite | Conductivité | Conductivité 20°C | Conductivité 25°C | Conductivitéà20°C(µs/cm) | EC",VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
COULEUR,Couleur,Couleur,UCV,physico-chimie,Couleur de l'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Couleur,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CR,Cr,Cr,mg/L,métaux lourds,Chrome total,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Chrome | Chrome(mg/l) | Cr | CrT,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CT,CT,CT,UFC/100 mL,bactériologie,Coliformes Totaux,coliformes,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,type_valeur,,Coliformes_totaux | CT,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
CU,Cu,Cu,mg/L,métaux lourds,Cuivre,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cu | Cuivre | Cuivre(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DBO5,DBO5,DBO5,mg/L,physico-chimie,Demande Biologique en Oxygène à 5 jours,demande biochimique,numeric_decimal_comma + condition_mesure_dec2h + limites_detection + quarantine_non_convertible,condition_mesure,methode_analyse,DBO5 | DBO5_dec2h,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DBO5_DEC2H,DBO5_dec2h,DBO5_dec2h,mg/L,physico-chimie,Demande Biologique en Oxygène à 5 jours (décanté en 2h),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,DBO5_dec2h,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DCO,DCO,DCO,mg/L,qualité eau,Demande Chimique en Oxygène,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,DCO | DCO  2h décant. | DCO  D   2h | DCO_dec2h,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,
DCO_DEC2H,DCO_dec2h,DCO_dec2h,mg/L,physico-chimie,Demande Chimique en Oxygène (décanté en 2h),demande chimique,numeric_decimal_comma + condition_mesure_dec2h + qa_DCO_DBO5 + limites_detection + quarantine_non_convertible,condition_mesure,qa_relation_DCO_DBO5,DCO | DCO 2h décant. | DCO D 2h | DCO_dec2h,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DEBIT,Debit,Debit_jr,m3/s,hydrologie,Débit journalier (flux d'eau),écoulement,numeric_decimal_comma + timestep + conversion_unite_si_necessaire + flags_series_temporelles + quarantine_non_convertible,time_step;unite_source;source_table,source_mesure,Debit | debit | DEBIT | debit_jr | Debit_jr | debit_l_s | Debit_m | debit_m | Debit_m / Debit_jr | Q,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Convertir debit_jr=debit_l_s* 0.001
DETERGENT,Detergent,Detergent,mg/L,physico-chimie,Détergents (tensioactifs),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Detergent | Detergent_non_ionique,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DIMENSION,Dimension,Dimension,—,physico-chimie,Dimension,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Dimension | dimension,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DISQUE_SECCHI,Disque_Secchi,Disque_Secchi,m,physico-chimie,Profondeur de disparition du disque de Secchi (transparence),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,disqu_secchi | Disque_Secchi | Disque_secchi | DisquedeSecchi(m),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
DIST_FOYER,Dist_foyer,Dist_foyer,m,physico-chimie,Distance point d'eau - foyer de pollution (m),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Dist_foyer | dist_pt_eau_foyer_pollut_m,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
EAU_SS_TERR,Eau_ss_terr,Eau_ss_terr,m,physico-chimie,Niveau statique eau souterraine (m/sol),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Eau_ss_terr | eau_ss_terr_niv_statique_m_sol,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
EH,Eh,Eh,mV,physico-chimie,Potentiel redox (Potentiel d'oxydoréduction),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Eh,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
EVAPORATION,Evaporation,Evaporation,mm,météo,Valeur d'évaporation,journalière,numeric_decimal_comma + null_non_migre + flags_series_temporelles + quarantine_non_convertible,time_step,source_donnee,Evap | EVAPO | Evapo | Evaporation | evaporation_jr | val_evaporation,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
F,F-,F-,mg/L,physico-chimie,Fluorures,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,F | F- | F-(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
FE,Fe,Fe,mg/L,métaux lourds,Fer (total et dissous),fer,numeric_decimal_comma + forme_chimique_deduite_si_possible + limites_detection + flag_si_forme_inconnue,forme_chimique si source permet distinction,forme_chimique,Fe | Fe2_ | Fe2+ | Fer | Fer(mg/l) | Fer total | Ferdissous | Ferdissous(mg/l) | FeT,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
FM,FM,FM,mg/L,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,F_M_mes | FM,QUARANTAINE,EXCLU_RETOUR_METIER,Paramètre explicitement signalé comme à écarter côté client.,retour equipe metier.xlsx + validations metier session,a ecarter valider coté client 
GERME_22,Germe_22,Germe_22,UFC/mL,physico-chimie,Germes totaux à 22 °C,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Germe_22 | Germe_tt_22,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
GERME_37,Germe_37,Germe_37,UFC/mL,physico-chimie,Germes totaux à 37 °C,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Germe_37 | Germe_tt_37,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
H2S,H2S,H2S,mg/L,physico-chimie,Hydrogène sulfuré,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,H2S,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
HAUTEUR,Hauteur,Hauteur,m,physico-chimie,Hauteur d'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,hauteur | Hauteur | hauteur_m,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
HCO3,HCO3-,HCO3-,mg/L,physico-chimie,Bicarbonates (Hydrogénocarbonates),anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Bicarbonates | HCO | HCO3 | HCO3- | HCT,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
HG,Huiles_Graisses,HG,mg/L,pollution / physico-chimie,Huiles et graisses,huiles et graisses,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,methode_analyse,H_G | HG | Huiles Graisses | Huiles Graisses (H G T),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
HG_MERCURE,Mercure,Hg,mg/L,métaux lourds,Mercure,mercure,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Hg | Mercure | Mercure(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
IBD,IBD,IBD,— (indice /20),physico-chimie,Indice Biologique Diatomées,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,IBD,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
IBGN,IBGN,IBGN,— (indice /20),physico-chimie,Indice Biologique Global Normalisé (macro-invertébrés),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,IBGN,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
K,K,K,mg/L,physico-chimie,Potassium,cations,numeric_decimal_comma + normalisation_variante + limites_detection + quarantine_non_convertible,,normaliser_K_KPlus_KPlus4,K+ | K | K+4 | Potassium,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
LARGEUR,Largeur,Largeur,m,physico-chimie,Largeur du cours d'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Largeur,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
LI,Li,Li,mg/L,physico-chimie,Lithium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Li | Litium(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
LONGUEUR,Longueur,Longueur,km,physico-chimie,Longueur (km),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Longueur | longueur_km,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
MD,MD,MD,à confirmer,physico-chimie,Matières décantables,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,MD,QUARANTAINE,EXCLU_RETOUR_METIER,Paramètre explicitement signalé comme à écarter côté client.,retour equipe metier.xlsx + validations metier session,a ecarter valider coté client 
MES,MES,MES,mg/L,physico-chimie,Matières En Suspension (totales),particules,numeric_decimal_comma + filtre + limites_detection + quarantine_non_convertible,filtre,condition_mesure,MES | MEST Filtr | MEST(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
MG,Mg,Mg,mg/L,physico-chimie,Magnésium,cations,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Magnesium | Mg++ | Mg | Mg²+,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
MN,Mn,Mn,mg/L,métaux lourds,Manganèse,manganèse,numeric_decimal_comma + forme_chimique_optionnelle + Mn5_normalise + limites_detection,,forme_chimique si détectable,Manganese | Manganèse | Manganèse(mg/l) | Mn | Mn5,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
MO,Matiere_Organique,MO,mg/L,physico-chimie,Matières organiques / Carbone organique,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,methode_analyse,Carbone_org | MO,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,
MODEL_CHLA_OUT,chla_out,chla_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,chla_out,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_FLOW_IN,flow_in,flow_in,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,flow_in,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_FLOW_OUT,flow_out,flow_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,flow_out,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_FLOW_OUT_OF_SEGMENT,Flow Out of Segment,Flow Out of Segment,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,Flow Out of Segment,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_NO3_OUT,no3_out,no3_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,no3_out,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_ORGN,orgn,orgn,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,orgn,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_ORGP_OUT,orgp_out,orgp_out,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,orgp_out,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_SEDP,sedp,sedp,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,sedp,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_SOLP,solp,solp,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,solp,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_WATER_AGE,WATER_AGE,WATER_AGE,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,WATER_AGE,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MODEL_WATER_TEMPERATURE,Water Temperature,Water Temperature,à confirmer,modeles,sorties modèles SWAT/WASP,à valider modèle,modele_output_numeric + scenario + timestep + A_VALIDER_MODELE,,,Water Temperature,A_VALIDER,A_VALIDER_MODELE,Sortie modèle isolée du périmètre client.,docs/42 + docs/39,Ne pas migrer comme mesure client ; arbitrage modèle requis.
MONTANT_MD,Montant_MD,Montant_MD,Millions Dirhams,physico-chimie,Montant de construction ,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Montant_MD | montant_md,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
MO_METAL,Molybdène,Mo,mg/L,métaux lourds,Molybdène,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Mo | Molybdène(mg/l),VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
NA,Na,Na,mg/L,physico-chimie,Sodium,cations,numeric_decimal_comma + normalisation_variante + limites_detection + quarantine_non_convertible,,normaliser_Na_NaPlus_NaPlus3,Na | NA | Na+ | Na+3 | Sodium,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
NH4,NH4+,NH4+,mg/L,physico-chimie,Ammonium,ammonium,numeric_decimal_comma + pas_conversion_N_NH4 + limites_detection + quarantine_non_convertible,methode_analyse,forme_chimique,Ammonium | NH4 | NH4+ | NH4+ 2 | NH4+(mgNH4+/l) | NH4+ Spect | NH4+  Titri | NH4+ Titri,VALID_WITH_QA,VALID_WITH_QA,Paramètre normalisé dans le retour métier et consolidé pour pré-migration.,retour equipe metier.xlsx + validations metier session,Seuil ABH à charger depuis docs/40 si applicable.
