code_parametre,nom_canonique,symbole,unite_standard,type_metier,theme,sous_theme,regle_parsing,attributs_obligatoires,attributs_optionnels,variantes_associees,statut_validation,flag,justification_decision,source_decision,commentaire_migration
CO,Co,Co,mg/L,physico-chimie,Cobalt,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Co | Cobalt | Cobalt(mg/l)),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CO2_LIBRE,CO2_libre,CO2_libre,mg/L,physico-chimie,Dioxyde de carbone libre,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CO2_libre,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CO3,Carbonates,CO3²-,mg/L,physico-chimie,ions majeurs,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,CO3²- | CO3 | CO32 | Carbonates,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
COND,Conductivite,Cond,µS/cm,physico-chimie,qualité eau,minéralisation,numeric_decimal_comma + temperature_reference + quarantine_non_convertible,temperature_reference,source_mesure,Cond | Cond 25°C | cond_20_c | Conductivite | Conductivité | Conductivitéà20°C(µs/cm) | CE | Conduc | Cond 20°C | Conductivité 20°C | Conductivité 25°C | EC,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
COULEUR,Couleur,Couleur,UCV,physico-chimie,Couleur de l'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Couleur,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CR,Cr,Cr,mg/L,métaux lourds,Chrome total,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cr | CrT | Chrome | Chrome(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CT,Coliformes_totaux,CT,UFC/100 mL,bactériologie,microbiologie,coliformes,numeric_microbio + decimal_comma + scientific_notation + limites_detection + quarantine_non_convertible,type_valeur,,CT | Coliformes_totaux,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
CU,Cu,Cu,mg/L,métaux lourds,Cuivre,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Cu | Cuivre | Cuivre(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DBO5,DBO5,DBO5,mg/L,physico-chimie,matière organique,demande biochimique,numeric_decimal_comma + condition_mesure_dec2h + limites_detection + quarantine_non_convertible,condition_mesure,methode_analyse,DBO5 | DBO5_dec2h,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DBO5_DEC2H,DBO5_dec2h,DBO5_dec2h,mg/L,physico-chimie,Demande Biologique en Oxygène à 5 jours (décanté en 2h),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,DBO5_dec2h,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DCO,DCO,DCO,mg/L,physico-chimie,matière organique,demande chimique,numeric_decimal_comma + condition_mesure_dec2h + qa_DCO_DBO5 + limites_detection + quarantine_non_convertible,condition_mesure,qa_relation_DCO_DBO5,DCO | DCO 2h décant. | DCO D 2h | DCO_dec2h,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DCO_DEC2H,DCO_dec2h,DCO_dec2h,mg/L,physico-chimie,Demande Chimique en Oxygène (décanté en 2h),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,DCO_dec2h | DCO,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DEBIT,Debit,Q,m3/s,hydrologie,débit,écoulement,numeric_decimal_comma + timestep + flags_series_temporelles + quarantine_non_convertible,time_step;unite_source;source_table,source_mesure,Debit_m | debit_m | Debit_jr | debit | Debit | debit_jr | debit_l_s | Q | Debit_m / Debit_jr | DEBIT,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DETERGENT,Detergent,Detergent,mg/L,physico-chimie,Détergents (tensioactifs),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Detergent | Detergent_non_ionique,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DIMENSION,Dimension,Dimension,—,physico-chimie,Dimension,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Dimension | dimension,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DISQUE_SECCHI,Disque_Secchi,Disque_Secchi,m,physico-chimie,Profondeur de disparition du disque de Secchi (transparence),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Disque_Secchi | disqu_secchi | Disque_secchi | DisquedeSecchi(m),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
DIST_FOYER,Dist_foyer,Dist_foyer,m,physico-chimie,Distance point d'eau - foyer de pollution (m),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Dist_foyer | dist_pt_eau_foyer_pollut_m,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
EAU_SS_TERR,Eau_ss_terr,Eau_ss_terr,m,physico-chimie,Niveau statique eau souterraine (m/sol),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Eau_ss_terr | eau_ss_terr_niv_statique_m_sol,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
EH,Eh,Eh,mV,physico-chimie,Potentiel redox (Potentiel d'oxydoréduction),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Eh,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
EVAPORATION,Evaporation,Evap,mm,météo,évaporation,journalière,numeric_decimal_comma + null_non_migre + flags_series_temporelles + quarantine_non_convertible,time_step,source_donnee,Evaporation | val_evaporation | Evap | EVAPO | Evapo | evaporation_jr,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
F,F-,F-,mg/L,physico-chimie,Fluorures,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,F- | F | F-(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
FE,Fer,Fe,mg/L,métaux lourds,métaux,fer,numeric_decimal_comma + forme_chimique_deduite_si_possible + limites_detection + flag_si_forme_inconnue,forme_chimique si source permet distinction,methode_analyse,Fe | Fe2+ | Fer | Fer(mg/l) | FeT | Ferdissous(mg/l) | Fer total | Ferdissous,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
FM,FM,FM,mg/L,physico-chimie,à confirmer,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,FM | F_M_mes,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
GERME_22,Germe_22,Germe_22,UFC/mL,physico-chimie,Germes totaux à 22 °C,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Germe_22 | Germe_tt_22,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
GERME_37,Germe_37,Germe_37,UFC/mL,physico-chimie,Germes totaux à 37 °C,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Germe_37 | Germe_tt_37,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
H2S,H2S,H2S,mg/L,physico-chimie,Hydrogène sulfuré,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,H2S,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
HAUTEUR,Hauteur,Hauteur,m,physico-chimie,Hauteur d'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Hauteur | hauteur | hauteur_m,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
HCO3,Bicarbonates,HCO3-,mg/L,physico-chimie,ions majeurs,anions,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,HCO3- | HCO | HCO3 | HCT | Bicarbonates,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
HG,Huiles_Graisses,HG,mg/L,pollution / physico-chimie,pollution,huiles et graisses,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,methode_analyse,HG | H_G | Huiles Graisses | Huiles Graisses (H G T) | Huiles_Graisses,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
HG_MERCURE,Mercure,Hg,mg/L,métaux lourds,métaux,mercure,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Hg | Mercure | Mercure(mg/l),VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
IBD,IBD,IBD,— (indice /20),physico-chimie,Indice Biologique Diatomées,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,IBD,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
IBGN,IBGN,IBGN,— (indice /20),physico-chimie,Indice Biologique Global Normalisé (macro-invertébrés),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,IBGN,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
K,Potassium,K+,mg/L,physico-chimie,ions majeurs,cations,numeric_decimal_comma + normalisation_variante + limites_detection + quarantine_non_convertible,,normaliser_K_KPlus_KPlus4,K | K+ | K+4 | Potassium,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
LARGEUR,Largeur,Largeur,m,physico-chimie,Largeur du cours d'eau,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Largeur,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
LI,Li,Li,mg/L,physico-chimie,Lithium,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Li | Litium(mg/l),A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
LONGUEUR,Longueur,Longueur,km,physico-chimie,Longueur (km),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Longueur | longueur_km,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MD,MD,MD,à confirmer,physico-chimie,Matières décantables,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,MD,QUARANTAINE,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MES,MES,MES,mg/L,physico-chimie,matières en suspension,particules,numeric_decimal_comma + filtre + limites_detection + quarantine_non_convertible,filtre,condition_mesure,MES | MEST Filtr | MEST(mg/l),VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MG,Magnesium,Mg²+,mg/L,physico-chimie,ions majeurs,cations,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Mg | Mg++ | Magnesium | Mg²+,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MN,Manganese,Mn,mg/L,métaux lourds,métaux,manganèse,numeric_decimal_comma + forme_chimique_optionnelle + Mn5_normalise + limites_detection,,forme_chimique si détectable,Mn | Mn5 | Manganèse(mg/l) | Manganese | Manganèse,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MO,Mo,Mo,mg/L,physico-chimie,Molybdène,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Mo | Molybdène(mg/l) | MO | Carbone_org,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
MONTANT_MD,Montant_MD,Montant_MD,Millions Dirhams,physico-chimie,Montant de construction ,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Montant_MD | montant_md,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NA,Sodium,Na+,mg/L,physico-chimie,ions majeurs,cations,numeric_decimal_comma + normalisation_variante + limites_detection + quarantine_non_convertible,,normaliser_Na_NaPlus_NaPlus3,Na | NA | Na+ | Na+3 | Sodium,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NH4,Ammonium,NH4+,mg/L,physico-chimie,azote,ammonium,numeric_decimal_comma + pas_conversion_N_NH4 + limites_detection + quarantine_non_convertible,methode_analyse,forme_chimique,NH4+ | Ammonium | NH4 | NH4+ Titri | NH4+ 2 | NH4+ Spect | NH4+(mgNH4+/l),VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NI,Ni,Ni,mg/L,métaux lourds,Nickel,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Ni | Nickel | Nickel(mg)/l,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NITRATES,Nitrates,Nitrates,mg/L,métaux lourds,Nitrates (forme longue),à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Nitrates,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NIVEAU_EAU,Niveau_eau,Niveau_eau,m NGM,hydrologie,Niveau eau (m NGM),à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,Niveau_eau | niveau_eau_m_ngm,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NIVEAU_PIEZOM,Niveau_piezom,Niveau_piezom,m,hydrologie,Niveau piézométrique (m),à confirmer,numeric_decimal_comma + null_non_migre_si_applicable + flags_series_temporelles + quarantine_non_convertible,,,Niveau_piezom | niv_piezometrique_m,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NO2,Nitrites,NO2-,mg/L,physico-chimie,azote,nitrites,numeric_decimal_comma + conversion_ugL_vers_mgL_si_detectee + limites_detection + quarantine_non_convertible,methode_analyse,conversion_unite_si_ug_L,NO2- | NO2- _Spectro. | Nitrites | NO2_,VALID_WITH_QA,VALID_WITH_QA,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NO3,Nitrates,NO3-,mg/L,physico-chimie,azote,nitrates,numeric_decimal_comma + limites_detection + quarantine_non_convertible,methode_analyse,forme_chimique,NO3- | NO3-(mg/l) | NO3-_Réduction Cd | NO3-_Spectro | Nitrates | NO3_,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NTK,NTK,NTK,mg/L,physico-chimie,azote,azote Kjeldahl,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,ne_pas_fusionner_azote_total,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
NUMEROTATION,Numerotation,Numerotation,— (code),physico-chimie,Numérotation / Code station,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Numerotation | Numerotation_GT,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
N_ORG,N_org,N_org,mg/L,physico-chimie,Azote organique,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,N_org | Azote_Org,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
N_TOT,N_tot,N_tot,mg/L,physico-chimie,Azote total,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,N_tot | Azote_Total,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
O2_DISSOUS,Oxygene_dissous,O2_dissous,mg/L,physico-chimie,oxygène,oxygène dissous,numeric_decimal_comma + unite_nettoyee + limites_detection + quarantine_non_convertible,,source_mesure,O2_dissous | O2_diss | o2_dissous | O2dissous(mgd'O2/l) | Oxygene_dissous | Oxygène dissous,VALID,VALID,Décision D2/D3 validée et propagée aux variantes métier.,D2 validé + décisions D3 utilisateur + retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
ODEUR,Odeur,Odeur,— (qualitatif),physico-chimie,Odeur,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,Odeur,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
OH,OH-,OH-,mg/L,physico-chimie,Ions hydroxyde,à confirmer,numeric_decimal_comma + limites_detection + quarantine_non_convertible,,,OH- | OH,A_VALIDER,PARAMETRE_A_VALIDER,Présent dans le fichier métier mais non validé explicitement en D3.,retour equipe metier.xlsx,Seuil ABH à charger depuis docs/40 si applicable.
