id_parametre,nom_canonique,symbole,type_metier,unite_standard,regle_parsing,statut_parametre,flag_validation,volume_total_documente,volume_raw_select_echantillon,nb_variantes_documentees,variantes_metier_excel,variantes_documentees,tables_sources,statuts_mapping_sources,statuts_unite_sources,statuts_migration_sources,seuils_abh_disponibles,seuils_abh_refs,exemples_raw_readonly,decision_attendue,sources_documentaires
PM-D2-011,O2_dissous,O2_dissous,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,7957,7565,4,O2_diss | o2_dissous | O2_dissous | O2dissous(mgd'O2/l),O2_diss | o2_dissous | O2_dissous | O2dissous(mgd'O2/l),idp_2024_src_pollution_globale | idp_2024_src_pollution_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | suivi_qualite_sebou_jr | types_mesures,MAPPED_BY_METIER_VARIANT:4; MAPPED_EXACT:4,UNIT_CONFLICT:5; UNIT_MISSING:3,NEEDS_UNIT_VALIDATION:8,oui,eaux de surface p.8 (O2 dissous) | eaux de rivières p.12 (O2 dissous) | eaux de lacs p.13 (O2 dissous),raw_suivi_qualite_sebou_jr : O2_dissous=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : O2_dissous=NaN ; date=2023-12-08 ; point=2263/15 || raw_suivi_qualite_sebou_jr : O2_dissous=8.8 ; date=2023-12-09 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-012,sat,sat,physico-chimie,%,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_REGLE_QA,REGLE_QA_A_VALIDER,1221,1220,1,sat,sat,mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,MAPPED_EXACT:4,UNIT_OK:4,NEEDS_BIBLIO_VALIDATION:4,non,,raw_mesures_qualite_rivieres : sat=0 ; date=1988-09-20 ; point=2817/15 || raw_mesures_qualite_rivieres : sat=8.3 ; date=1988-09-22 ; point=1000/23 || raw_mesures_qualite_rivieres : sat=48.5 ; date=1988-10-04 ; point=2169/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-013,CF,CF,bactériologie,UFC/100 mL,numeric_microbio + decimal_comma + scientific_notation + detection_limit_flags + quarantine_non_parseable,OK_AVEC_REGLE_QA,REGLE_QA_A_VALIDER,5191,5190,2,CF | CF(UFC/100mL),CF | CF(UFC/100mL),idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_EXACT:7,UNIT_OK:7,NEEDS_VALUE_RULE:2; QUARANTINE_BEFORE_MIGRATION:4; OK_FOR_MIGRATION:1,oui,eaux de surface p.8 (Coliformes fécaux) | eaux de rivières p.12 (C. fécaux) | eaux de lacs p.13 (C. fécaux) | eaux souterraines p.14 (C. fécaux),raw_mesures_qualite_nappes : CF=2 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : CF=1300 ; date=1988-10-19 ; point=1475/9 || raw_mesures_qualite_nappes : CF=2 ; date=1989-03-31 ; point=2528/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-014,CT,CT,bactériologie,UFC/100 mL,numeric_microbio + decimal_comma + scientific_notation + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,4725,4724,1,CT,CT,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,MAPPED_EXACT:6,UNIT_CONFLICT:6,NEEDS_UNIT_VALIDATION:6,oui,eaux de surface p.8 (Coliformes totaux) | eaux de rivières p.12 (C. totaux) | eaux de lacs p.13 (C. totaux) | eaux souterraines p.14 (C. totaux),raw_mesures_qualite_nappes : CT=16 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : CT=68000 ; date=1988-10-19 ; point=1475/9 || raw_mesures_qualite_nappes : CT=200 ; date=1989-03-31 ; point=2528/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-015,NTK,NTK,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,6731,6707,5,NTK | NTK Spectr | NTK Titri | Azote_tot_kjeld | Azote_tot_kjeldhal,Azote_tot_kjeld | Azote_tot_kjeldhal | NTK | NTK Spectr | NTK Titri,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_sebou_jr | types_mesures,MAPPED_BY_METIER_VARIANT:8; MAPPED_EXACT:2,UNIT_OK:6; UNIT_MISSING:4,NEEDS_BIBLIO_VALIDATION:6; NEEDS_UNIT_VALIDATION:4,oui,eaux de surface p.8 (NTK) | eaux de rivières p.12 (NTK) | eaux de lacs p.13 (NTK),raw_suivi_qualite_sebou_jr : NTK=0 ; date=2024-04-18 ; point=2263/15 || raw_suivi_qualite_sebou_jr : NTK=NaN ; date=2023-12-07 ; point=2263/15 || raw_suivi_qualite_sebou_jr : NTK=NaN ; date=2023-12-08 ; point=2263/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-016,PT,PT,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,3033,3024,6,PT | PT  décant. 2h | PT DECANTE | PT(mgP/l) | Phosphore total | Phosphore_Total,PT | Phosphore total | Phosphore_Total | PT  décant. 2h | PT DECANTE | PT(mgP/l),idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_EXACT:3; MAPPED_BY_METIER_VARIANT:6,UNIT_MISSING:5; UNIT_OK:3; UNIT_CONFLICT:1,NEEDS_UNIT_VALIDATION:6; NEEDS_BIBLIO_VALIDATION:3,oui,eaux de surface p.8 (P total (Pt)) | eaux de rivières p.12 (P.total (PT)) | eaux de lacs p.13 (P.total),raw_mesures_qualite_rivieres : Phosphore total=3.47 ; date=1988-09-22 ; point=1000/23 || raw_mesures_qualite_rivieres : Phosphore total=2.974 ; date=1988-10-04 ; point=2169/15 || raw_mesures_qualite_rivieres : Phosphore total=6.59 ; date=1988-10-05 ; point=2496/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-017,Cl-,Cl-,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,5165,5164,4,Cl | Cl- | Cl-(mg/l) | Cl-_IC,Cl | Cl- | Cl-(mg/l) | Cl-_IC,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_BY_METIER_VARIANT:5; MAPPED_EXACT:2,UNIT_OK:5; UNIT_MISSING:2,QUARANTINE_BEFORE_MIGRATION:4; OK_FOR_MIGRATION:1; NEEDS_UNIT_VALIDATION:2,non,,raw_mesures_qualite_nappes : Cl=227.1 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : Cl=221 ; date=1989-03-31 ; point=2528/15 || raw_mesures_qualite_nappes : Cl=69.8 ; date=1990-09-20 ; point=1182/14,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-018,SO4²-,SO4²-,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,5292,5291,4,SO4 | SO4-- | SO4(mg/l) | SO42-_IC,SO4 | SO4-- | SO4(mg/l) | SO42-_IC,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo | types_mesures,MAPPED_BY_METIER_VARIANT:7,UNIT_OK:5; UNIT_MISSING:2,QUARANTINE_BEFORE_MIGRATION:3; OK_FOR_MIGRATION:1; NEEDS_UNIT_VALIDATION:2; OK_WITH_FLAG:1,oui,eaux de surface p.8 (Sulfates (SO4-)) | eaux de rivières p.12 (Sulfates (SO4-)) | eaux de lacs p.13 (Sulfates) | eaux souterraines p.14 (Sulfates),raw_mesures_qualite_nappes : SO4=39 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : SO4=19.2 ; date=1989-03-31 ; point=2528/15 || raw_mesures_qualite_nappes : SO4=29.3 ; date=1990-09-21 ; point=2881/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-019,Ca,Ca,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,4696,4695,2,Ca | Ca++,Ca | Ca++,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,MAPPED_EXACT:4; MAPPED_BY_METIER_VARIANT:2,UNIT_OK:4; UNIT_MISSING:2,NEEDS_BIBLIO_VALIDATION:4; NEEDS_UNIT_VALIDATION:2,non,,raw_mesures_qualite_nappes : Ca=67.3 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : Ca=122.6 ; date=1989-03-31 ; point=2528/15 || raw_mesures_qualite_nappes : Ca=994 ; date=1991-03-27 ; point=2881/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-020,Na,Na,physico-chimie,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,4906,4905,3,NA | Na+ | Na+3,NA | Na+ | Na+3,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_barrages | mesures_qualite_nappes | mesures_qualite_rivieres | types_mesures,MAPPED_EXACT:4; MAPPED_BY_METIER_VARIANT:3,UNIT_MISSING:7,NEEDS_UNIT_VALIDATION:7,non,,raw_mesures_qualite_nappes : NA=172 ; date=1988-10-03 ; point=1652/22 || raw_mesures_qualite_nappes : NA=132 ; date=1989-03-31 ; point=2528/15 || raw_mesures_qualite_nappes : NA=8160 ; date=1991-03-27 ; point=2881/15,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-021,As,As,métaux lourds,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,479,479,3,As | Arsenic | Arsenic(mg/l),Arsenic(mg/l) | As | Arsenic,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo,MAPPED_BY_METIER_VARIANT:2; MAPPED_EXACT:3,UNIT_OK:1; UNIT_MISSING:4,OK_WITH_FLAG:1; NEEDS_UNIT_VALIDATION:4,non,,raw_mesures_qualite_rivieres : As=0.015 ; date=1993-03-09 ; point=756/16 || raw_mesures_qualite_rivieres : As=0.01 ; date=1993-03-12 ; point=2400/14 || raw_mesures_qualite_rivieres : As=0.015 ; date=1993-03-18 ; point=3261/14,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
PM-D2-022,Cd,Cd,métaux lourds,mg/L,numeric_decimal_comma + detection_limit_flags + quarantine_non_parseable,OK_AVEC_VALIDATION_UNITE,UNITE_SOURCE_A_VALIDER,515,515,3,Cd | Cadmium | Cadmium(mg/l),Cadmium(mg/l) | Cd | Cadmium,idp_2024_mesures_qualite_globale | idp_2024_mesures_qualite_marche_cadre | mesures_qualite_nappes | mesures_qualite_rivieres | suivi_qualite_brg_garde_hebdo,MAPPED_BY_METIER_VARIANT:2; MAPPED_EXACT:3,UNIT_OK:1; UNIT_MISSING:4,OK_WITH_FLAG:1; NEEDS_UNIT_VALIDATION:4,non,,raw_mesures_qualite_rivieres : Cd=0.001 ; date=1990-02-07 ; point=609/9 || raw_mesures_qualite_rivieres : Cd=0.001 ; date=1990-02-12 ; point=2401/14 || raw_mesures_qualite_rivieres : Cd=0.0004 ; date=1990-03-21 ; point=669/22,"valider nom canonique, unité standard, règle parsing et statut avant D3",docs/42/06 + docs/39/08 + docs/40/03 + retour equipe metier.xlsx + staging.raw_* read-only
