pts_prelevement_original,pts_prelevement_normalise,classe_semantique_proposee,confiance,justification,decision_metier
S28 (Aval_Conf_Rejet_ORG (Ouartzagh),s28 aval conf rejet org ouartzagh,rejet,haute,mention explicite de rejet,
S29 (Aval_Conf_Rejet_Douar Ouled Jrir,s29 aval conf rejet douar ouled jrir,rejet,haute,mention explicite de rejet,
S30 (Aval_Conf_Rejet_SHZ (Sidi Harazem),s30 aval conf rejet shz sidi harazem,rejet,haute,mention explicite de rejet,
AVAL REJET INDUSTRIEL MERJA,aval rejet industriel merja,rejet,haute,mention explicite de rejet,
S18 (Aval Sidi Daoud),s18 aval sidi daoud,indetermine,faible,aucun motif semantique robuste detecte,
S20 (Aval STEP Fes),s20 aval step fes,station_pompage,moyenne,mention explicite de step,
S21 (Aval_conf_Leban_ Inaoun,s21 aval conf leban inaoun,indetermine,faible,aucun motif semantique robuste detecte,
S23 (Aval_Conf_Rejet_JEM (Jorf el MALHA ),s23 aval conf rejet jem jorf el malha,rejet,haute,mention explicite de rejet,
S27 (Aval_Conf_Rejet_LOD (Louadaine),s27 aval conf rejet lod louadaine,rejet,haute,mention explicite de rejet,
S8 (Aval Ferme Agricole sidi kamel),s8 aval ferme agricole sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
AVAL AIN LEUH,aval ain leuh,indetermine,faible,aucun motif semantique robuste detecte,
AVAL REJET AIN CHEGGAG,aval rejet ain cheggag,rejet,haute,mention explicite de rejet,
AVAL REJET EL MENZEL,aval rejet el menzel,rejet,haute,mention explicite de rejet,
AVAL REJET SEFROU,aval rejet sefrou,rejet,haute,mention explicite de rejet,
AVAL VILLAGE BNI AMMART,aval village bni ammart,indetermine,faible,aucun motif semantique robuste detecte,
REJET ABATTOIR TAHLA,rejet abattoir tahla,rejet,haute,mention explicite de rejet,
REJET ABATTOIR GUIGOU,rejet abattoir guigou,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MOULAY DRISS ZRHOUN ,rejet abattoir moulay driss zrhoun,rejet,haute,mention explicite de rejet,
REJET ABATTOIR OULED ZBAIR,rejet abattoir ouled zbair,rejet,haute,mention explicite de rejet,
ALH_PDOM1_R4 (E.M),alh pdom1 r4 e m,indetermine,faible,aucun motif semantique robuste detecte,
BBR_PDS_R4  (E.M),bbr pds r4 e m,indetermine,faible,aucun motif semantique robuste detecte,
BBT_PDS_R3 (E.M),bbt pds r3 e m,indetermine,faible,aucun motif semantique robuste detecte,
MNZ_DOM_R10  (E.M),mnz dom r10 e m,indetermine,faible,aucun motif semantique robuste detecte,
SEF_PDOM_R3 (E.M),sef pdom r3 e m,indetermine,faible,aucun motif semantique robuste detecte,
Amont STEP Taounate,amont step taounate,station_pompage,moyenne,mention explicite de step,
Aval STEP Taounate,aval step taounate,station_pompage,moyenne,mention explicite de step,
Amont STEP Khémisset ,amont step khemisset,station_pompage,moyenne,mention explicite de step,
Aval STEP Khémisset ,aval step khemisset,station_pompage,moyenne,mention explicite de step,
AVAL STEP AZROU,aval step azrou,station_pompage,moyenne,mention explicite de step,
AVAL STEP EL HAJEB,aval step el hajeb,station_pompage,moyenne,mention explicite de step,
AVAL STEP IFRANE,aval step ifrane,station_pompage,moyenne,mention explicite de step,
PA SIDI MOKHFI,pa sidi mokhfi,indetermine,faible,aucun motif semantique robuste detecte,
Station Hajria,station hajria,station_qualite,moyenne,mention explicite de station,
ARB_DECH1_PE1 (AIN LABROUAL),arb dech1 pe1 ain labroual,indetermine,faible,aucun motif semantique robuste detecte,
CHG_DEC_PE1 (EL HOUD),chg dec pe1 el houd,indetermine,faible,aucun motif semantique robuste detecte,
GHF_PDE_P1,ghf pde p1,indetermine,faible,aucun motif semantique robuste detecte,
GHF_PDE_P1 (PUITS MRIZIEK),ghf pde p1 puits mriziek,nappe_point_eau,moyenne,mention explicite de puits,
IMM_DECH_PE1 (FORAGE ONEE-BO),imm dech pe1 forage onee bo,nappe_point_eau,moyenne,mention explicite de forage,
M_DECH_PE1 (FORAGE IRE 2153/15),m dech pe1 forage ire 2153 15,nappe_point_eau,moyenne,mention explicite de forage,
MBK_DEC_PE1 (Forage Ferme ZIANI Bel Arbi),mbk dec pe1 forage ferme ziani bel arbi,nappe_point_eau,moyenne,mention explicite de forage,
MBK_DOM_PE1 (Forage Belaje),mbk dom pe1 forage belaje,nappe_point_eau,moyenne,mention explicite de forage,
MDZ_PDOM1_PE1 ,mdz pdom1 pe1,indetermine,faible,aucun motif semantique robuste detecte,
R-KRB_PDE_P2,r krb pde p2,indetermine,faible,aucun motif semantique robuste detecte,
RZI_DEC_PE1 (Puits Fouad ELBRINI),rzi dec pe1 puits fouad elbrini,nappe_point_eau,moyenne,mention explicite de puits,
Z_DECH_PE1 (FORAGE IRE 898/16 AIN BOUCHIBA),z dech pe1 forage ire 898 16 ain bouchiba,nappe_point_eau,moyenne,mention explicite de forage,
Z_DECH_PE2 (FORAGE IRE 12/517 AIN BOUCHIBA),z dech pe2 forage ire 12 517 ain bouchiba,nappe_point_eau,moyenne,mention explicite de forage,
ACH_PDE(PUITS CARRIERE),ach pde puits carriere,nappe_point_eau,moyenne,mention explicite de puits,
IMK_DEC_PE1 (AMHAOUCHE ISMAIL),imk dec pe1 amhaouche ismail,indetermine,faible,aucun motif semantique robuste detecte,
ATJ_DECH_PE1 ,atj dech pe1,indetermine,faible,aucun motif semantique robuste detecte,
SOURCE AMMES DECHQUONDA (BHL_PDOM_PE1),source ammes dechquonda bhl pdom pe1,source_pollution,moyenne,mention explicite de source,
ALH_PDOM1_PE1 (LAHCEN BIZIZI),alh pdom1 pe1 lahcen bizizi,indetermine,faible,aucun motif semantique robuste detecte,
BMR_DOM_PE1 (Forage CHELIK Arbi),bmr dom pe1 forage chelik arbi,nappe_point_eau,moyenne,mention explicite de forage,
RAT_DOM_PE1 (TAIBI HASSAN),rat dom pe1 taibi hassan,indetermine,faible,aucun motif semantique robuste detecte,
SAT_DEC_PE1 (Puits youness CHOUA),sat dec pe1 puits youness choua,nappe_point_eau,moyenne,mention explicite de puits,
SHZ_DOM2_PE1 (Source Skhinate (Nakhla),shz dom2 pe1 source skhinate nakhla,source_pollution,moyenne,mention explicite de source,
SHZ_DOM2_PE2 (Source Barda),shz dom2 pe2 source barda,source_pollution,moyenne,mention explicite de source,
LMJ_DOM_R2,lmj dom r2,indetermine,faible,aucun motif semantique robuste detecte,
LOJ_DOM_R1,loj dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R4,mbk dom r4,indetermine,faible,aucun motif semantique robuste detecte,
MKS_DOM_R2,mks dom r2,indetermine,faible,aucun motif semantique robuste detecte,
OMN_DOM_R2,omn dom r2,indetermine,faible,aucun motif semantique robuste detecte,
PONT RS 302,pont rs 302,indetermine,faible,aucun motif semantique robuste detecte,
S12 (Aval_Conf_Rejet_MBK_R4 (Mechraa Bel Ksiri),s12 aval conf rejet mbk r4 mechraa bel ksiri,rejet,haute,mention explicite de rejet,
S26 (Aval_Conf_Rejet_MKS (Mkansa),s26 aval conf rejet mks mkansa,rejet,haute,mention explicite de rejet,
STATION BAB MARZOUKA,station bab marzouka,station_qualite,moyenne,mention explicite de station,
S22 (Aval_conf_Sebou_ Inaoun),s22 aval conf sebou inaoun,indetermine,faible,aucun motif semantique robuste detecte,
S25 (Aval_Conf_Rejet_LMJ (Lamjaara),s25 aval conf rejet lmj lamjaara,rejet,haute,mention explicite de rejet,
S31 (Aval_Conf_Rejet_LOJ (Loulja),s31 aval conf rejet loj loulja,rejet,haute,mention explicite de rejet,
 REJET R10 EM (R10: KNH-DOM-R1),rejet r10 em r10 knh dom r1,rejet,haute,mention explicite de rejet,
 REJET R12 EM (R12: MBK-DOM-R2),rejet r12 em r12 mbk dom r2,rejet,haute,mention explicite de rejet,
ACH_PDS_R1,ach pds r1,indetermine,faible,aucun motif semantique robuste detecte,
AID_DOM1_R4,aid dom1 r4,indetermine,faible,aucun motif semantique robuste detecte,
AID_DOM1_R4 (AIN DFALI),aid dom1 r4 ain dfali,indetermine,faible,aucun motif semantique robuste detecte,
AKA_DOM_R1,aka dom r1,indetermine,faible,aucun motif semantique robuste detecte,
AKA_PDOM1_R1,aka pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
AMONT SOUK ELAHAD CHEBANATE,amont souk elahad chebanate,indetermine,faible,aucun motif semantique robuste detecte,
AMONT STEP OUED AMLIL,amont step oued amlil,station_pompage,moyenne,mention explicite de step,
AZR_PDOM1_R1,azr pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
CHQ_DOM_R1,chq dom r1,indetermine,faible,aucun motif semantique robuste detecte,
CHQ_DOM_R2,chq dom r2,indetermine,faible,aucun motif semantique robuste detecte,
DBA_DOM1_R1,dba dom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
DDZ_PDOM1_R1,ddz pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
HFT_DOM_R2,hft dom r2,indetermine,faible,aucun motif semantique robuste detecte,
HFT_DOM_R3,hft dom r3,indetermine,faible,aucun motif semantique robuste detecte,
IMK_DOM_R3,imk dom r3,indetermine,faible,aucun motif semantique robuste detecte,
JEM_DOM_R1,jem dom r1,indetermine,faible,aucun motif semantique robuste detecte,
JEM_DOM_R3,jem dom r3,indetermine,faible,aucun motif semantique robuste detecte,
KSN_DOM_R1,ksn dom r1,indetermine,faible,aucun motif semantique robuste detecte,
LOD_DOM_R1,lod dom r1,indetermine,faible,aucun motif semantique robuste detecte,
M_DOM_R1,m dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MBC_DOM_R1,mbc dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R3,mbk dom r3,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R5,mbk dom r5,indetermine,faible,aucun motif semantique robuste detecte,
MBK_DOM_R6,mbk dom r6,indetermine,faible,aucun motif semantique robuste detecte,
MKS_DOM_R1,mks dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MOG_DOM_R1,mog dom r1,indetermine,faible,aucun motif semantique robuste detecte,
MOKR_PDOM_R1,mokr pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
MSA_DOM1,msa dom1,indetermine,faible,aucun motif semantique robuste detecte,
NBA_PDOM1_R1,nba pdom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
OA_DOM_R3,oa dom r3,indetermine,faible,aucun motif semantique robuste detecte,
OHN_DOM_R1,ohn dom r1,indetermine,faible,aucun motif semantique robuste detecte,
ORG_DOM_R2,org dom r2,indetermine,faible,aucun motif semantique robuste detecte,
OZ_DECH_R1,oz dech r1,indetermine,faible,aucun motif semantique robuste detecte,
PA AVAL STEP MHAYA,pa aval step mhaya,station_pompage,moyenne,mention explicite de step,
PA Aval Village Tigrigra,pa aval village tigrigra,indetermine,faible,aucun motif semantique robuste detecte,
REJET ABATTOIR BAB MARZOUKA ,rejet abattoir bab marzouka,rejet,haute,mention explicite de rejet,
REJET ABATTOIR BNI FTAH,rejet abattoir bni ftah,rejet,haute,mention explicite de rejet,
REJET ABATTOIR GALDMANE,rejet abattoir galdmane,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MASMOUDA,rejet abattoir masmouda,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MATMATA,rejet abattoir matmata,rejet,haute,mention explicite de rejet,
REJET ABATTOIR MOQRISSET ,rejet abattoir moqrisset,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SIDI BOUSBER,rejet abattoir sidi bousber,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SIDI REDOUANE,rejet abattoir sidi redouane,rejet,haute,mention explicite de rejet,
REJET ABATTOIR SKOURA MDAZ,rejet abattoir skoura mdaz,rejet,haute,mention explicite de rejet,
REJET ABATTOIR ZOUMI ,rejet abattoir zoumi,rejet,haute,mention explicite de rejet,
REJET MERJA FOUARATE AIN SEBAA,rejet merja fouarate ain sebaa,rejet,haute,mention explicite de rejet,
REJET R1 EM (R1: SHZ-DOM2-R1),rejet r1 em r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
REJET R11 EM (R11: NTR-DOM-R1),rejet r11 em r11 ntr dom r1,rejet,haute,mention explicite de rejet,
REJET R2 EM  (R2: SHZ-DOM2-R2),rejet r2 em r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R3 EM  (R3: SHZ-DOM1-R1),rejet r3 em r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R4 EM (R4: SHZ-DOM3-R2),rejet r4 em r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
REJET R5 EM (R5: LOD-DOM-R2),rejet r5 em r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R6 EM  (R6: ORG-DOM-R3),rejet r6 em r6 org dom r3,rejet,haute,mention explicite de rejet,
REJET R7 EM  (R7: JEM-DOM-R2),rejet r7 em r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R8 EM (R8: LMJ-DOM-R1),rejet r8 em r8 lmj dom r1,rejet,haute,mention explicite de rejet,
REJET R9 EM (R9: TRL-DOM-R1),rejet r9 em r9 trl dom r1,rejet,haute,mention explicite de rejet,
REJET STEP TIFLET,rejet step tiflet,station_pompage,moyenne,mention explicite de step,
RG_AIS_1,rg ais 1,indetermine,faible,aucun motif semantique robuste detecte,
RG_TFL_1,rg tfl 1,indetermine,faible,aucun motif semantique robuste detecte,
S1 (Aval_conf_Rejet_MOG (Mograne),s1 aval conf rejet mog mograne,rejet,haute,mention explicite de rejet,
S10 (Aval douar Zehair (sidi kamel),s10 aval douar zehair sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
S11 (Amont Fermes Agricole sidi kamel,s11 amont fermes agricole sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
S13 (Aval_Conf_Rejet_MBK (Mechraa Bel Ksiri),s13 aval conf rejet mbk mechraa bel ksiri,rejet,haute,mention explicite de rejet,
S2 (Barrage de garde),s2 barrage de garde,barrage,moyenne,mention explicite de barrage,
S24 (Douar Chorf laghouazi),s24 douar chorf laghouazi,indetermine,faible,aucun motif semantique robuste detecte,
S3 (Station Pompage Ferme (Amont Bge de garde),s3 station pompage ferme amont bge de garde,station_pompage,haute,mention station et pompage,
S4 (Amont station pompage ferme),s4 amont station pompage ferme,station_pompage,haute,mention station et pompage,
S5 (Aval ancien rejet sotrameg),s5 aval ancien rejet sotrameg,rejet,haute,mention explicite de rejet,
S6 (Amont ancien rejet sotrameg),s6 amont ancien rejet sotrameg,rejet,haute,mention explicite de rejet,
S7 (Aval_Conf_Rejet_SAT (Sidi Allal Tazi),s7 aval conf rejet sat sidi allal tazi,rejet,haute,mention explicite de rejet,
S9 (Aval douar el fokra (sidi kamel),s9 aval douar el fokra sidi kamel,indetermine,faible,aucun motif semantique robuste detecte,
SAH_DOM1_R1,sah dom1 r1,indetermine,faible,aucun motif semantique robuste detecte,
SAT_DOM_R2,sat dom r2,indetermine,faible,aucun motif semantique robuste detecte,
SAZ_DOM_R1,saz dom r1,indetermine,faible,aucun motif semantique robuste detecte,
SAZ_DOM_R2,saz dom r2,indetermine,faible,aucun motif semantique robuste detecte,
SDK_DOM1_R2,sdk dom1 r2,indetermine,faible,aucun motif semantique robuste detecte,
SDR_PDOM_R1,sdr pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_R3,shz dom2 r3,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_R4,shz dom2 r4,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM2_R5,shz dom2 r5,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM3_R1,shz dom3 r1,indetermine,faible,aucun motif semantique robuste detecte,
SHZ_DOM5_R1,shz dom5 r1,indetermine,faible,aucun motif semantique robuste detecte,
SMK_PDOM1_R2,smk pdom1 r2,indetermine,faible,aucun motif semantique robuste detecte,
TAZ_PDOM_R9,taz pdom r9,indetermine,faible,aucun motif semantique robuste detecte,
TRL_DOM_R2,trl dom r2,indetermine,faible,aucun motif semantique robuste detecte,
ZDA_PDOM_R1,zda pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
ZOM_PDOM_R1,zom pdom r1,indetermine,faible,aucun motif semantique robuste detecte,
AMONT SEFROU,amont sefrou,indetermine,faible,aucun motif semantique robuste detecte,
AVAL OUED IFRANE,aval oued ifrane,oued_riviere,haute,mention explicite d'oued,
BA_DOM_R1,ba dom r1,indetermine,faible,aucun motif semantique robuste detecte,
BHD_PDS_R2,bhd pds r2,indetermine,faible,aucun motif semantique robuste detecte,
BHL_DOM_PE1 (PUITS),bhl dom pe1 puits,nappe_point_eau,moyenne,mention explicite de puits,
RAT_DOM_R1,rat dom r1,indetermine,faible,aucun motif semantique robuste detecte,
TAHLA_DECH_PE1 (FORAGE IRE 1/509),tahla dech pe1 forage ire 1 509,nappe_point_eau,moyenne,mention explicite de forage,
TAM_PDS_R1,tam pds r1,indetermine,faible,aucun motif semantique robuste detecte,
THS_PDS_R1,ths pds r1,indetermine,faible,aucun motif semantique robuste detecte,
TIS_DEC_PE1 (MEHDI OUAZZANI),tis dec pe1 mehdi ouazzani,indetermine,faible,aucun motif semantique robuste detecte,
 REJET R10 EP (R10: KNH-DOM-R1),rejet r10 ep r10 knh dom r1,rejet,haute,mention explicite de rejet,
REJET R1 EP (R1: SHZ-DOM2-R1),rejet r1 ep r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
REJET R11 EP (R11: NTR-DOM-R1),rejet r11 ep r11 ntr dom r1,rejet,haute,mention explicite de rejet,
REJET R12 EP (R12: MBK-DOM-R2),rejet r12 ep r12 mbk dom r2,rejet,haute,mention explicite de rejet,
REJET R2 EP  (R2: SHZ-DOM2-R2),rejet r2 ep r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R3 EP  (R3: SHZ-DOM1-R1),rejet r3 ep r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R4 EP (R4: SHZ-DOM3-R2),rejet r4 ep r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
REJET R5 EP (R5: LOD-DOM-R2),rejet r5 ep r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R6 EP  (R6: ORG-DOM-R3),rejet r6 ep r6 org dom r3,rejet,haute,mention explicite de rejet,
REJET R7 EP  (R7: JEM-DOM-R2),rejet r7 ep r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R8 EP (R8: LMJ-DOM-R1),rejet r8 ep r8 lmj dom r1,rejet,haute,mention explicite de rejet,
REJET R9 EP (R9: TRL-DOM-R1),rejet r9 ep r9 trl dom r1,rejet,haute,mention explicite de rejet,
 REJET R10 (R10: KNH-DOM-R1),rejet r10 r10 knh dom r1,rejet,haute,mention explicite de rejet,
 REJET R11 (R11: NTR-DOM-R1),rejet r11 r11 ntr dom r1,rejet,haute,mention explicite de rejet,
 REJET R12 (R12: MBK-DOM-R2),rejet r12 r12 mbk dom r2,rejet,haute,mention explicite de rejet,
 REJET R4  (R4: SHZ-DOM3-R2),rejet r4 r4 shz dom3 r2,rejet,haute,mention explicite de rejet,
 REJET R6 (R6: ORG-DOM-R3),rejet r6 r6 org dom r3,rejet,haute,mention explicite de rejet,
REJET R1 (R1: SHZ-DOM2-R1),rejet r1 r1 shz dom2 r1,rejet,haute,mention explicite de rejet,
REJET R2 (R2: SHZ-DOM2-R2),rejet r2 r2 shz dom2 r2,rejet,haute,mention explicite de rejet,
REJET R3  (R3: SHZ-DOM1-R1),rejet r3 r3 shz dom1 r1,rejet,haute,mention explicite de rejet,
REJET R5 (R5: LOD-DOM-R2),rejet r5 r5 lod dom r2,rejet,haute,mention explicite de rejet,
REJET R7 (R7: JEM-DOM-R2),rejet r7 r7 jem dom r2,rejet,haute,mention explicite de rejet,
REJET R9 (R9: TRL-DOM-R1),rejet r9 r9 trl dom r1,rejet,haute,mention explicite de rejet,
PONT KHENICHET,pont khenichet,indetermine,faible,aucun motif semantique robuste detecte,
AMONT KENITRA,amont kenitra,indetermine,faible,aucun motif semantique robuste detecte,
AVAL REJET MEKNES,aval rejet meknes,rejet,haute,mention explicite de rejet,
POINT RP1 AVAL TAZA,point rp1 aval taza,indetermine,faible,aucun motif semantique robuste detecte,
STATION DAR EL ARSA,station dar el arsa,station_qualite,moyenne,mention explicite de station,
STATION AZIB SOLTANE,station azib soltane,station_qualite,moyenne,mention explicite de station,
STATION PONT MECHRAA BEL KSIRI,station pont mechraa bel ksiri,station_qualite,moyenne,mention explicite de station,
AMONT BARRAGE DE GARDE,amont barrage de garde,amont_barrage,haute,contient amont et barrage,
AVAL STEP EL HAJEB,aval step el hajeb,station_pompage,moyenne,mention explicite de step,
AVAL STEP IMOUZZER MARMOUCHA,aval step imouzzer marmoucha,station_pompage,moyenne,mention explicite de step,
STATION BAB MARZOUKA,station bab marzouka,station_qualite,moyenne,mention explicite de station,
AMONT STEP KENITRA,amont step kenitra,station_pompage,moyenne,mention explicite de step,
AMONT STEP KHEMISSET ,amont step khemisset,station_pompage,moyenne,mention explicite de step,
AMONT STEP MECHRAA BEL KSIRI,amont step mechraa bel ksiri,station_pompage,moyenne,mention explicite de step,
AVAL REJET TIFELT,aval rejet tifelt,rejet,haute,mention explicite de rejet,
AVAL STEP AZROU,aval step azrou,station_pompage,moyenne,mention explicite de step,
AVAL STEP FES,aval step fes,station_pompage,moyenne,mention explicite de step,
AVAL STEP IFRANE,aval step ifrane,station_pompage,moyenne,mention explicite de step,
AVAL STEP KARIAT BA MOHAMED,aval step kariat ba mohamed,station_pompage,moyenne,mention explicite de step,
AVAL STEP KHEMISSET ,aval step khemisset,station_pompage,moyenne,mention explicite de step,
AVAL STEP MECHRAA BEL KSIRI,aval step mechraa bel ksiri,station_pompage,moyenne,mention explicite de step,
AVAL STEP SIDI KACEM,aval step sidi kacem,station_pompage,moyenne,mention explicite de step,
AVAL STEP SIDI YAHYA EL GHARB,aval step sidi yahya el gharb,station_pompage,moyenne,mention explicite de step,
AVAL STEP TAHLA,aval step tahla,station_pompage,moyenne,mention explicite de step,
AVAL STEP TAOUNATE,aval step taounate,station_pompage,moyenne,mention explicite de step,
STATION AVAL GHAFSAI,station aval ghafsai,station_qualite,moyenne,mention explicite de station,
AVAL STEP SIDI SLIMANE,aval step sidi slimane,station_pompage,moyenne,mention explicite de step,
PT RP 21 (OUED BOUFEKRANE),pt rp 21 oued boufekrane,oued_riviere,haute,mention explicite d'oued,
AMONT STEP TAOUNATE,amont step taounate,station_pompage,moyenne,mention explicite de step,
PONT RS 302,pont rs 302,indetermine,faible,aucun motif semantique robuste detecte,
SIDI MOKHFI,sidi mokhfi,indetermine,faible,aucun motif semantique robuste detecte,
AVAL CONFLUENCE SEBOU-RDAT,aval confluence sebou rdat,indetermine,faible,aucun motif semantique robuste detecte,
PONT KROUMAN,pont krouman,indetermine,faible,aucun motif semantique robuste detecte,
FORAGE DOMAINE JAWHARA,forage domaine jawhara,nappe_point_eau,moyenne,mention explicite de forage,
PUITS BEN SMIME,puits ben smime,nappe_point_eau,moyenne,mention explicite de puits,
PUITS FERME BENNANI,puits ferme bennani,nappe_point_eau,moyenne,mention explicite de puits,
PUITS KHLIFI RAMOU,puits khlifi ramou,nappe_point_eau,moyenne,mention explicite de puits,
PUITS MOHAMED CHEHYMA,puits mohamed chehyma,nappe_point_eau,moyenne,mention explicite de puits,
PUITS SOUK EL HAD (GHAFSAI),puits souk el had ghafsai,nappe_point_eau,moyenne,mention explicite de puits,
SOURCE ABATTOIR,source abattoir,source_pollution,moyenne,mention explicite de source,
FOUM KHNEG,foum khneg,indetermine,faible,aucun motif semantique robuste detecte,
PONT PORTUGAIS,pont portugais,indetermine,faible,aucun motif semantique robuste detecte,
SOURCE AMMES DECHQUONDA ,source ammes dechquonda,source_pollution,moyenne,mention explicite de source,
STATION BAB OUENDER,station bab ouender,station_qualite,moyenne,mention explicite de station,
STATION HAJRIA,station hajria,station_qualite,moyenne,mention explicite de station,
STATION HAMMAM,station hammam,station_qualite,moyenne,mention explicite de station,
STATION RP 26,station rp 26,station_qualite,moyenne,mention explicite de station,
FORAGE ABD NBI BOUTABEQ,forage abd nbi boutabeq,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE AFAQFAQ,forage afaqfaq,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE AHMED GHARAS,forage ahmed gharas,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ATTO MILOUD,forage atto miloud,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE BARRAGE DE GARDE,forage barrage de garde,barrage,moyenne,mention explicite de barrage,
FORAGE FERME HADDADI ,forage ferme haddadi,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME HAJ MOUHCINE ,forage ferme haj mouhcine,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE FERME ZNAIBER,forage ferme znaiber,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE HUILERIE TALAA,forage huilerie talaa,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ONEP BEN AOUDA,forage onep ben aouda,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE ONEP KSAIBIA,forage onep ksaibia,nappe_point_eau,moyenne,mention explicite de forage,
FORAGE SOCHATOUR,forage sochatour,nappe_point_eau,moyenne,mention explicite de forage,
PUITS AHMED JIRRARI,puits ahmed jirrari,nappe_point_eau,moyenne,mention explicite de puits,
